emoji1,emoji2,paircount
HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,LIGHT-SKIN-TONE,1
TOKYO-TOWER,LIGHT-SKIN-TONE,1
WOMAN,LIGHT-SKIN-TONE,1
GLOBE-SHOWING-AMERICAS,LIGHT-SKIN-TONE,1
EGGPLANT,LIGHT-SKIN-TONE,1
MAP-OF-JAPAN,LIGHT-SKIN-TONE,1
FAMILY,LIGHT-SKIN-TONE,1
ARTIST-PALETTE,LIGHT-SKIN-TONE,1
PEACE-SYMBOL,LIGHT-SKIN-TONE,1
DOG,LIGHT-SKIN-TONE,1
EYE,LIGHT-SKIN-TONE,1
NATIONAL-PARK,LIGHT-SKIN-TONE,1
MOUNT-FUJI,LIGHT-SKIN-TONE,1
PERSON-RUNNING,LIGHT-SKIN-TONE,1
LEAF-FLUTTERING-IN-WIND,LIGHT-SKIN-TONE,1
INDIA,LIGHT-SKIN-TONE,1
LOCOMOTIVE,LIGHT-SKIN-TONE,1
FLEUR-DE-LIS,AMERICAN-FOOTBALL,1
TUMBLER-GLASS,AMERICAN-FOOTBALL,1
SAXOPHONE,AMERICAN-FOOTBALL,1
ELEPHANT,AMERICAN-FOOTBALL,1
TROPHY,AMERICAN-FOOTBALL,1
TUMBLER-GLASS,FLEUR-DE-LIS,1
SAXOPHONE,FLEUR-DE-LIS,1
SAXOPHONE,TUMBLER-GLASS,1
MAPLE-LEAF,TUMBLER-GLASS,1
SHAMROCK,TUMBLER-GLASS,1
PISTOL,FIRE-ENGINE,1
WOMAN-DANCING,FIRE-ENGINE,1
WOMAN-DANCING,PISTOL,1
DEER,PISTOL,1
IRELAND,RAINBOW,1
SHEEP,IRELAND,1
RAILWAY-TRACK,IRELAND,1
SUNRISE,IRELAND,1
CAMERA,IRELAND,1
ALIEN,IRELAND,1
HIGH-SPEED-TRAIN,IRELAND,1
SUN-BEHIND-CLOUD,IRELAND,1
HOT-BEVERAGE,IRELAND,1
NIGHT-WITH-STARS,IRELAND,1
COCKTAIL-GLASS,IRELAND,1
CONFETTI-BALL,IRELAND,1
TWO-HEARTS,BACKHAND-INDEX-POINTING-RIGHT,1
MOUNTAIN,BACKHAND-INDEX-POINTING-RIGHT,1
CAMERA,BACKHAND-INDEX-POINTING-RIGHT,1
BLOND-HAIRED-PERSON,BACKHAND-INDEX-POINTING-RIGHT,1
FEMALE-SIGN,BACKHAND-INDEX-POINTING-RIGHT,1
OWL,BACKHAND-INDEX-POINTING-RIGHT,1
ENVELOPE,BACKHAND-INDEX-POINTING-RIGHT,1
TWO-HEARTS,OK-HAND,1
MOUNTAIN,OK-HAND,1
CAMERA,OK-HAND,1
BLOND-HAIRED-PERSON,OK-HAND,1
FEMALE-SIGN,OK-HAND,1
OWL,OK-HAND,1
ENVELOPE,OK-HAND,1
PENGUIN,CHRISTMAS-TREE,1
ICE-SKATE,CHRISTMAS-TREE,1
ICE-SKATE,PENGUIN,1
TROPHY,ELEPHANT,1
HIBISCUS,ELEPHANT,1
SHEAF-OF-RICE,ELEPHANT,1
DOLPHIN,ELEPHANT,1
TWO-HUMP-CAMEL,ELEPHANT,1
SUNRISE,TROPHY,1
BLUE-HEART,TROPHY,1
BASEBALL,TROPHY,1
WINE-GLASS,TROPHY,1
GLOBE-SHOWING-AMERICAS,TROPHY,1
BELGIUM,TROPHY,1
KISS,TROPHY,1
CHEQUERED-FLAG,TROPHY,1
AUTOMOBILE,TROPHY,1
MIDDLE-FINGER,RAISED-FIST,1
SHEEP,RAISED-FIST,1
SHEEP,MIDDLE-FINGER,1
ALIEN,SHEEP,1
HIGH-SPEED-TRAIN,SHEEP,1
SUN-BEHIND-CLOUD,SHEEP,1
HOT-BEVERAGE,SHEEP,1
NIGHT-WITH-STARS,SHEEP,1
COCKTAIL-GLASS,SHEEP,1
CONFETTI-BALL,SHEEP,1
CAMPING,RAILWAY-TRACK,1
WINE-GLASS,RAILWAY-TRACK,1
HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,RAILWAY-TRACK,1
TOKYO-TOWER,RAILWAY-TRACK,1
MAN,RAILWAY-TRACK,1
BOY,RAILWAY-TRACK,1
TICKET,RAILWAY-TRACK,1
MOUNTAIN,RAILWAY-TRACK,1
DESERT,RAILWAY-TRACK,1
GLOBE-SHOWING-AMERICAS,RAILWAY-TRACK,1
EGGPLANT,RAILWAY-TRACK,1
MAP-OF-JAPAN,RAILWAY-TRACK,1
FAMILY,RAILWAY-TRACK,1
ARTIST-PALETTE,RAILWAY-TRACK,1
PEACE-SYMBOL,RAILWAY-TRACK,1
DOG,RAILWAY-TRACK,1
EYE,RAILWAY-TRACK,1
NATIONAL-PARK,RAILWAY-TRACK,1
POULTRY-LEG,BUTTERFLY,1
DIZZY,BUTTERFLY,1
MOSQUE,BUTTERFLY,1
SHALLOW-PAN-OF-FOOD,BUTTERFLY,1
STEAMING-BOWL,JAPAN,1
JAPANESE-CASTLE,JAPAN,1
JAPANESE-CASTLE,STEAMING-BOWL,1
PASSENGER-SHIP,SUNRISE,1
WORLD-MAP,SUNRISE,1
MOTOR-BOAT,SUNRISE,1
WINE-GLASS,SUNRISE,1
AIRPLANE,SUNRISE,1
TOKYO-TOWER,SUNRISE,1
CAMERA,SUNRISE,1
KISS,SUNRISE,1
CHEQUERED-FLAG,SUNRISE,1
AUTOMOBILE,SUNRISE,1
PERSON-SWIMMING,SUNRISE,1
TENT,SUNRISE,1
FIJI,PERSON-GOLFING,1
ALIEN-MONSTER,ROCKET,1
MOVIE-CAMERA,ROCKET,1
SPARKLES,ROCKET,1
SPEAK-NO-EVIL-MONKEY,ROCKET,1
SEE-NO-EVIL-MONKEY,ROCKET,1
HEAR-NO-EVIL-MONKEY,ROCKET,1
SHOPPING-BAGS,ROCKET,1
BOUQUET,ROCKET,1
MOTOR-BOAT,WORLD-MAP,1
FIREWORKS,MOTOR-BOAT,1
CROWN,GUARD,1
UNITED-KINGDOM,GUARD,1
CAMPING,GUARD,1
FEMALE-SIGN,GUARD,1
UNITED-KINGDOM,FRAMED-PICTURE,1
SMILING-CAT-FACE-WITH-HEART-EYES,FRAMED-PICTURE,1
SUSHI,FRAMED-PICTURE,1
CITYSCAPE-AT-DUSK,FRAMED-PICTURE,1
SMILING-CAT-FACE-WITH-HEART-EYES,UNITED-KINGDOM,1
CAMPING,UNITED-KINGDOM,1
SYRINGE,UNITED-KINGDOM,1
PILL,UNITED-KINGDOM,1
MUSHROOM,UNITED-KINGDOM,1
FIVE-O,UNITED-KINGDOM,1
SKULL,UNITED-KINGDOM,1
CAMERA,UNITED-KINGDOM,1
CLINKING-GLASSES,UNITED-KINGDOM,1
FEMALE-SIGN,UNITED-KINGDOM,1
SPAIN,EYES,1
FOLDED-HANDS,EYES,1
FOLDED-HANDS,SPAIN,1
INDIA,FOLDED-HANDS,1
LOCOMOTIVE,FOLDED-HANDS,1
MOVIE-CAMERA,BED,1
ONCOMING-POLICE-CAR,BED,1
ONCOMING-POLICE-CAR,MOVIE-CAMERA,1
SPARKLES,MOVIE-CAMERA,1
SPEAK-NO-EVIL-MONKEY,MOVIE-CAMERA,1
SEE-NO-EVIL-MONKEY,MOVIE-CAMERA,1
HEAR-NO-EVIL-MONKEY,MOVIE-CAMERA,1
SHOPPING-BAGS,MOVIE-CAMERA,1
BOUQUET,MOVIE-CAMERA,1
TROPICAL-DRINK,MOVIE-CAMERA,1
SUN,MOVIE-CAMERA,1
CANADA,MOVIE-CAMERA,1
HIGH-VOLTAGE,MOVIE-CAMERA,1
MEDIUM-LIGHT-SKIN-TONE,MOVIE-CAMERA,1
PERSON-TAKING-BATH,MOVIE-CAMERA,1
HOUSE,MOVIE-CAMERA,1
BASEBALL,BLUE-HEART,1
VOLCANO,OCTOPUS,1
PERSON-BIKING,VOLCANO,1
MONKEY-FACE,VOLCANO,1
CAMPING,MILKY-WAY,1
CLINKING-BEER-MUGS,MILKY-WAY,1
ALIEN,MILKY-WAY,1
HOT-BEVERAGE,MILKY-WAY,1
CLINKING-BEER-MUGS,CAMPING,1
MAN,CAMPING,1
WOMAN,CAMPING,1
BOY,CAMPING,1
TICKET,CAMPING,1
MOUNTAIN,CAMPING,1
DESERT,CAMPING,1
FEMALE-SIGN,CAMPING,1
GUITAR,CLINKING-BEER-MUGS,1
HAMBURGER,CLINKING-BEER-MUGS,1
BOOKS,CLINKING-BEER-MUGS,1
MEDIUM-LIGHT-SKIN-TONE,CLINKING-BEER-MUGS,1
NETHERLANDS,CLINKING-BEER-MUGS,1
PERSON-BIKING,CLINKING-BEER-MUGS,1
WINE-GLASS,MICROPHONE,1
MAN-DANCING,MICROPHONE,1
GLOBE-SHOWING-AMERICAS,MICROPHONE,1
COWBOY-HAT-FACE,MICROPHONE,1
MAN-DANCING,WINE-GLASS,1
HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,WINE-GLASS,1
TOKYO-TOWER,WINE-GLASS,1
WOMAN,WINE-GLASS,1
GLOBE-SHOWING-AMERICAS,WINE-GLASS,1
EGGPLANT,WINE-GLASS,1
MAP-OF-JAPAN,WINE-GLASS,1
FAMILY,WINE-GLASS,1
ARTIST-PALETTE,WINE-GLASS,1
PEACE-SYMBOL,WINE-GLASS,1
DOG,WINE-GLASS,1
EYE,WINE-GLASS,1
NATIONAL-PARK,WINE-GLASS,1
KISS,WINE-GLASS,1
CHEQUERED-FLAG,WINE-GLASS,1
AUTOMOBILE,WINE-GLASS,1
MOUSE-FACE,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
GLOBE-SHOWING-EUROPE-AFRICA,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
TOKYO-TOWER,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
WOMAN,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
GLOBE-SHOWING-AMERICAS,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
EGGPLANT,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
MAP-OF-JAPAN,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
FAMILY,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
ARTIST-PALETTE,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
PEACE-SYMBOL,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
DOG,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
EYE,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
NATIONAL-PARK,HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,1
GLOBE-SHOWING-EUROPE-AFRICA,MOUSE-FACE,1
MUSICAL-SCORE,GLOBE-SHOWING-EUROPE-AFRICA,1
GLOBE-SHOWING-AMERICAS,GLOBE-SHOWING-EUROPE-AFRICA,1
GLOBE-SHOWING-ASIA-AUSTRALIA,GLOBE-SHOWING-EUROPE-AFRICA,1
JAMAICA,GLOBE-SHOWING-EUROPE-AFRICA,1
TOKYO-TOWER,AIRPLANE,1
SUNGLASSES,AIRPLANE,1
STATUE-OF-LIBERTY,AIRPLANE,1
SHORTCAKE,AIRPLANE,1
WOMAN,TOKYO-TOWER,1
GLOBE-SHOWING-AMERICAS,TOKYO-TOWER,1
SHOPPING-BAGS,TOKYO-TOWER,1
EGGPLANT,TOKYO-TOWER,1
MAP-OF-JAPAN,TOKYO-TOWER,1
FAMILY,TOKYO-TOWER,1
ARTIST-PALETTE,TOKYO-TOWER,1
PEACE-SYMBOL,TOKYO-TOWER,1
DOG,TOKYO-TOWER,1
EYE,TOKYO-TOWER,1
NATIONAL-PARK,TOKYO-TOWER,1
ZZZ,TOKYO-TOWER,1
SEAT,MUSICAL-SCORE,1
GLOBE-SHOWING-AMERICAS,MUSICAL-SCORE,1
GLOBE-SHOWING-ASIA-AUSTRALIA,MUSICAL-SCORE,1
JAMAICA,MUSICAL-SCORE,1
MAN-AND-WOMAN-HOLDING-HANDS,MUSICAL-SCORE,1
VICTORY-HAND,MUSICAL-SCORE,1
MEDIUM-LIGHT-SKIN-TONE,MUSICAL-SCORE,1
RED-HEART,MUSICAL-SCORE,1
SLOT-MACHINE,MUSICAL-SCORE,1
WEDDING,MUSICAL-SCORE,1
SHEAF-OF-RICE,HIBISCUS,1
DOLPHIN,HIBISCUS,1
TWO-HUMP-CAMEL,HIBISCUS,1
DOLPHIN,SHEAF-OF-RICE,1
TWO-HUMP-CAMEL,SHEAF-OF-RICE,1
TWO-HUMP-CAMEL,DOLPHIN,1
WOMAN,MAN,1
BOY,MAN,1
TICKET,MAN,1
MOUNTAIN,MAN,1
DESERT,MAN,1
BOY,WOMAN,1
TICKET,WOMAN,1
MOUNTAIN,WOMAN,1
DESERT,WOMAN,1
GLOBE-SHOWING-AMERICAS,WOMAN,1
EGGPLANT,WOMAN,1
MAP-OF-JAPAN,WOMAN,1
FAMILY,WOMAN,1
ARTIST-PALETTE,WOMAN,1
PEACE-SYMBOL,WOMAN,1
DOG,WOMAN,1
EYE,WOMAN,1
NATIONAL-PARK,WOMAN,1
TICKET,BOY,1
MOUNTAIN,BOY,1
DESERT,BOY,1
MOUNTAIN,TICKET,1
DESERT,TICKET,1
DESERT,MOUNTAIN,1
CAMERA,MOUNTAIN,1
BLOND-HAIRED-PERSON,MOUNTAIN,1
FEMALE-SIGN,MOUNTAIN,1
OWL,MOUNTAIN,1
ENVELOPE,MOUNTAIN,1
SHORTCAKE,STATUE-OF-LIBERTY,1
BELGIUM,GLOBE-SHOWING-AMERICAS,1
COWBOY-HAT-FACE,GLOBE-SHOWING-AMERICAS,1
GLOBE-SHOWING-ASIA-AUSTRALIA,GLOBE-SHOWING-AMERICAS,1
JAMAICA,GLOBE-SHOWING-AMERICAS,1
EGGPLANT,GLOBE-SHOWING-AMERICAS,1
MAP-OF-JAPAN,GLOBE-SHOWING-AMERICAS,1
FAMILY,GLOBE-SHOWING-AMERICAS,1
ARTIST-PALETTE,GLOBE-SHOWING-AMERICAS,1
PEACE-SYMBOL,GLOBE-SHOWING-AMERICAS,1
DOG,GLOBE-SHOWING-AMERICAS,1
EYE,GLOBE-SHOWING-AMERICAS,1
NATIONAL-PARK,GLOBE-SHOWING-AMERICAS,1
SPEAK-NO-EVIL-MONKEY,SPARKLES,1
SEE-NO-EVIL-MONKEY,SPARKLES,1
HEAR-NO-EVIL-MONKEY,SPARKLES,1
SHOPPING-BAGS,SPARKLES,1
BOUQUET,SPARKLES,1
SEE-NO-EVIL-MONKEY,SPEAK-NO-EVIL-MONKEY,1
HEAR-NO-EVIL-MONKEY,SPEAK-NO-EVIL-MONKEY,1
SHOPPING-BAGS,SPEAK-NO-EVIL-MONKEY,1
BOUQUET,SPEAK-NO-EVIL-MONKEY,1
HEAR-NO-EVIL-MONKEY,SEE-NO-EVIL-MONKEY,1
SHOPPING-BAGS,SEE-NO-EVIL-MONKEY,1
BOUQUET,SEE-NO-EVIL-MONKEY,1
SHOPPING-BAGS,HEAR-NO-EVIL-MONKEY,1
BOUQUET,HEAR-NO-EVIL-MONKEY,1
BOUQUET,SHOPPING-BAGS,1
BENTO-BOX,SHOPPING-BAGS,1
PANDA-FACE,SHOPPING-BAGS,1
ZZZ,SHOPPING-BAGS,1
PANDA-FACE,BENTO-BOX,1
JAMAICA,GLOBE-SHOWING-ASIA-AUSTRALIA,1
MAP-OF-JAPAN,EGGPLANT,1
FAMILY,EGGPLANT,1
ARTIST-PALETTE,EGGPLANT,1
PEACE-SYMBOL,EGGPLANT,1
DOG,EGGPLANT,1
EYE,EGGPLANT,1
NATIONAL-PARK,EGGPLANT,1
FAMILY,MAP-OF-JAPAN,1
ARTIST-PALETTE,MAP-OF-JAPAN,1
PEACE-SYMBOL,MAP-OF-JAPAN,1
DOG,MAP-OF-JAPAN,1
EYE,MAP-OF-JAPAN,1
NATIONAL-PARK,MAP-OF-JAPAN,1
ARTIST-PALETTE,FAMILY,1
PEACE-SYMBOL,FAMILY,1
DOG,FAMILY,1
EYE,FAMILY,1
NATIONAL-PARK,FAMILY,1
PEACE-SYMBOL,ARTIST-PALETTE,1
DOG,ARTIST-PALETTE,1
EYE,ARTIST-PALETTE,1
NATIONAL-PARK,ARTIST-PALETTE,1
HOT-BEVERAGE,ARTIST-PALETTE,1
DIRECT-HIT,ARTIST-PALETTE,1
PIZZA,ARTIST-PALETTE,1
DOG,PEACE-SYMBOL,1
EYE,PEACE-SYMBOL,1
NATIONAL-PARK,PEACE-SYMBOL,1
EYE,DOG,1
NATIONAL-PARK,DOG,1
NATIONAL-PARK,EYE,1
PILL,SYRINGE,1
MUSHROOM,SYRINGE,1
FIVE-O,SYRINGE,1
SKULL,SYRINGE,1
CAMERA,SYRINGE,1
CLINKING-GLASSES,SYRINGE,1
MUSHROOM,PILL,1
FIVE-O,PILL,1
SKULL,PILL,1
CAMERA,PILL,1
CLINKING-GLASSES,PILL,1
FIVE-O,MUSHROOM,1
SKULL,MUSHROOM,1
CAMERA,MUSHROOM,1
CLINKING-GLASSES,MUSHROOM,1
SKULL,FIVE-O,1
CAMERA,FIVE-O,1
CLINKING-GLASSES,FIVE-O,1
CAMERA,SKULL,1
CLINKING-GLASSES,SKULL,1
DRAGON,SKULL,1
CLINKING-GLASSES,CAMERA,1
BLOND-HAIRED-PERSON,CAMERA,1
FEMALE-SIGN,CAMERA,1
OWL,CAMERA,1
ENVELOPE,CAMERA,1
CROSSED-FLAGS,BIRTHDAY-CAKE,1
RED-PAPER-LANTERN,BIRTHDAY-CAKE,1
RED-PAPER-LANTERN,CROSSED-FLAGS,1
TROPICAL-DRINK,MAN-AND-WOMAN-HOLDING-HANDS,1
VICTORY-HAND,MAN-AND-WOMAN-HOLDING-HANDS,1
MEDIUM-LIGHT-SKIN-TONE,MAN-AND-WOMAN-HOLDING-HANDS,1
RED-HEART,MAN-AND-WOMAN-HOLDING-HANDS,1
SLOT-MACHINE,MAN-AND-WOMAN-HOLDING-HANDS,1
WEDDING,MAN-AND-WOMAN-HOLDING-HANDS,1
GREECE,MAN-AND-WOMAN-HOLDING-HANDS,1
SUN,TROPICAL-DRINK,1
CANADA,TROPICAL-DRINK,1
HIGH-VOLTAGE,TROPICAL-DRINK,1
SUNSET,TROPICAL-DRINK,1
HANDSHAKE,FRANCE,1
DIZZY-FACE,FRANCE,1
DIZZY-FACE,HANDSHAKE,1
HIGH-SPEED-TRAIN,ALIEN,1
SUN-BEHIND-CLOUD,ALIEN,1
NIGHT-WITH-STARS,ALIEN,1
COCKTAIL-GLASS,ALIEN,1
CONFETTI-BALL,ALIEN,1
SUN-BEHIND-CLOUD,HIGH-SPEED-TRAIN,1
HOT-BEVERAGE,HIGH-SPEED-TRAIN,1
NIGHT-WITH-STARS,HIGH-SPEED-TRAIN,1
COCKTAIL-GLASS,HIGH-SPEED-TRAIN,1
CONFETTI-BALL,HIGH-SPEED-TRAIN,1
HOT-BEVERAGE,SUN-BEHIND-CLOUD,1
NIGHT-WITH-STARS,SUN-BEHIND-CLOUD,1
COCKTAIL-GLASS,SUN-BEHIND-CLOUD,1
CONFETTI-BALL,SUN-BEHIND-CLOUD,1
NIGHT-WITH-STARS,HOT-BEVERAGE,1
COCKTAIL-GLASS,HOT-BEVERAGE,1
CONFETTI-BALL,HOT-BEVERAGE,1
SUNRISE-OVER-MOUNTAINS,HOT-BEVERAGE,1
SUN,HOT-BEVERAGE,1
DIRECT-HIT,HOT-BEVERAGE,1
